epoch,step,batch_id,avg_cost,val_reward,lr,reinforce_loss,grad_norm,epoch_time
0,500,-1,0,5.610197067260742,4.9500000000000004e-05,0,0,00:16:49
1,1000,-1,0,5.399745464324951,4.9005e-05,0,0,00:16:09
2,1500,-1,0,5.509188652038574,4.851495e-05,0,0,00:15:56
3,2000,-1,0,5.34145975112915,4.80298005e-05,0,0,00:15:48
4,2500,-1,0,5.5018768310546875,4.7549502495e-05,0,0,00:15:48
5,3000,-1,0,5.405000686645508,4.707400747005e-05,0,0,00:15:49
6,3500,-1,0,5.597100257873535,4.6603267395349495e-05,0,0,00:15:46
7,4000,-1,0,5.374996662139893,4.613723472139601e-05,0,0,00:15:48
8,4500,-1,0,5.732393264770508,4.5675862374182046e-05,0,0,00:15:49
9,5000,-1,0,5.354388236999512,4.521910375044022e-05,0,0,00:15:48
10,5500,-1,0,5.353404998779297,4.476691271293582e-05,0,0,00:15:48
11,6000,-1,0,5.315834999084473,4.431924358580647e-05,0,0,00:15:49
12,6500,-1,0,5.234273433685303,4.38760511499484e-05,0,0,00:15:47
13,7000,-1,0,5.472425937652588,4.343729063844891e-05,0,0,00:15:50
14,7500,-1,0,5.349511623382568,4.300291773206442e-05,0,0,00:15:47
15,8000,-1,0,5.313569068908691,4.257288855474378e-05,0,0,00:15:49
16,8500,-1,0,5.259659767150879,4.214715966919634e-05,0,0,00:15:49
17,9000,-1,0,5.351822853088379,4.1725688072504373e-05,0,0,00:15:49
18,9500,-1,0,5.303163528442383,4.1308431191779336e-05,0,0,00:15:49
19,10000,-1,0,5.264948844909668,4.089534687986154e-05,0,0,00:15:50
20,10500,-1,0,5.276852607727051,4.048639341106292e-05,0,0,00:15:48
21,11000,-1,0,5.278707504272461,4.00815294769523e-05,0,0,00:15:46
22,11500,-1,0,5.227159023284912,3.968071418218277e-05,0,0,00:15:50
23,12000,-1,0,5.246490478515625,3.928390704036094e-05,0,0,00:15:48
24,12500,-1,0,5.6663689613342285,3.889106796995734e-05,0,0,00:15:47
25,13000,-1,0,5.276954650878906,3.8502157290257755e-05,0,0,00:15:50
26,13500,-1,0,5.224140644073486,3.811713571735518e-05,0,0,00:15:50
27,14000,-1,0,5.184846878051758,3.773596436018163e-05,0,0,00:15:50
28,14500,-1,0,5.362985134124756,3.7358604716579807e-05,0,0,00:15:50
29,15000,-1,0,5.183508396148682,3.698501866941401e-05,0,0,00:15:50
30,15500,-1,0,5.187625885009766,3.6615168482719876e-05,0,0,00:15:51
31,16000,-1,0,5.223196029663086,3.624901679789267e-05,0,0,00:15:51
32,16500,-1,0,5.160387992858887,3.5886526629913745e-05,0,0,00:15:51
33,17000,-1,0,5.343408584594727,3.5527661363614604e-05,0,0,00:15:51
34,17500,-1,0,5.16436767578125,3.517238474997846e-05,0,0,00:15:52
35,18000,-1,0,5.127410888671875,3.4820660902478674e-05,0,0,00:15:49
36,18500,-1,0,5.265968322753906,3.447245429345389e-05,0,0,00:15:51
37,19000,-1,0,5.161476135253906,3.412772975051935e-05,0,0,00:15:51
38,19500,-1,0,5.215387344360352,3.378645245301415e-05,0,0,00:15:51
39,20000,-1,0,5.231199264526367,3.3448587928484016e-05,0,0,00:15:49
40,20500,-1,0,5.220228672027588,3.311410204919918e-05,0,0,00:16:30
41,21000,-1,0,5.21494197845459,3.278296102870718e-05,0,0,00:17:29
42,21500,-1,0,5.212166786193848,3.245513141842011e-05,0,0,00:17:28
43,22000,-1,0,5.299217224121094,3.213058010423591e-05,0,0,00:16:34
44,22500,-1,0,5.240415573120117,3.180927430319355e-05,0,0,00:16:30
45,23000,-1,0,5.204361915588379,3.149118156016161e-05,0,0,00:16:31
46,23500,-1,0,5.203225135803223,3.117626974456e-05,0,0,00:16:30
47,24000,-1,0,5.1683831214904785,3.08645070471144e-05,0,0,00:16:34
48,24500,-1,0,5.2339630126953125,3.055586197664325e-05,0,0,00:16:32
49,25000,-1,0,5.204712867736816,3.025030335687682e-05,0,0,00:16:31
50,25500,-1,0,5.226870059967041,2.994780032330805e-05,0,0,00:16:33
51,26000,-1,0,5.191997528076172,2.9648322320074973e-05,0,0,00:16:33
52,26500,-1,0,5.210320472717285,2.9351839096874222e-05,0,0,00:16:34
53,27000,-1,0,5.151763439178467,2.905832070590548e-05,0,0,00:16:37
54,27500,-1,0,5.120558738708496,2.8767737498846424e-05,0,0,00:16:41
55,28000,-1,0,5.139377117156982,2.848006012385796e-05,0,0,00:17:19
56,28500,-1,0,5.202484130859375,2.8195259522619378e-05,0,0,00:16:46
57,29000,-1,0,5.242592811584473,2.7913306927393185e-05,0,0,00:16:41
58,29500,-1,0,5.146777153015137,2.7634173858119257e-05,0,0,00:16:38
59,30000,-1,0,5.235603332519531,2.7357832119538062e-05,0,0,00:16:37
60,30500,-1,0,5.255373477935791,2.708425379834268e-05,0,0,00:16:39
61,31000,-1,0,5.3206467628479,2.681341126035925e-05,0,0,00:16:41
62,31500,-1,0,5.149540424346924,2.654527714775566e-05,0,0,00:17:46
63,32000,-1,0,5.205183982849121,2.62798243762781e-05,0,0,00:17:47
64,32500,-1,0,5.188625812530518,2.601702613251532e-05,0,0,00:17:47
65,33000,-1,0,5.112597942352295,2.5756855871190165e-05,0,0,00:17:45
