epoch,step,batch_id,avg_cost,val_reward,lr,reinforce_loss,grad_norm,epoch_time
0,500,-1,0,42.36253356933594,0.0003,0,0,00:30:11
1,1000,-1,0,42.36253356933594,0.0003,0,0,00:53:50
2,1500,-1,0,42.36253356933594,0.0003,0,0,01:03:45
3,2000,-1,0,42.36253356933594,0.0003,0,0,01:11:23
4,2500,-1,0,42.36253356933594,0.0003,0,0,01:19:38
5,3000,-1,0,42.36253356933594,0.0003,0,0,01:28:35
6,3500,-1,0,42.36253356933594,0.0003,0,0,01:35:02
7,4000,-1,0,42.36253356933594,0.0003,0,0,01:44:06
8,4500,-1,0,42.36253356933594,0.0003,0,0,01:53:32
9,5000,-1,0,42.36253356933594,0.0003,0,0,02:01:55
