epoch,step,batch_id,avg_cost,val_reward,lr,reinforce_loss,grad_norm,epoch_time
0,500,-1,0,3.422342538833618,0.0003,0,0,00:02:31
1,1000,-1,0,3.444182872772217,0.0003,0,0,00:05:29
2,1500,-1,0,3.3578906059265137,0.0003,0,0,00:05:33
3,2000,-1,0,3.318840742111206,0.0003,0,0,00:05:30
4,2500,-1,0,3.3161461353302,0.0003,0,0,00:05:28
5,3000,-1,0,3.2355823516845703,0.0003,0,0,00:05:30
6,3500,-1,0,3.1494667530059814,0.0003,0,0,00:05:30
7,4000,-1,0,3.086247444152832,0.0003,0,0,00:05:31
8,4500,-1,0,3.1126108169555664,0.0003,0,0,00:05:28
9,5000,-1,0,3.0410289764404297,0.0003,0,0,00:05:30
10,5500,-1,0,3.0602920055389404,0.0003,0,0,00:05:23
11,6000,-1,0,3.0087149143218994,0.0003,0,0,00:05:26
12,6500,-1,0,3.006429672241211,0.0003,0,0,00:05:24
13,7000,-1,0,2.9427289962768555,0.0003,0,0,00:05:26
14,7500,-1,0,2.9575719833374023,0.0003,0,0,00:05:24
15,8000,-1,0,3.012087345123291,0.0003,0,0,00:05:25
16,8500,-1,0,3.061296224594116,0.0003,0,0,00:05:25
17,9000,-1,0,2.893068790435791,0.0003,0,0,00:05:27
18,9500,-1,0,2.897061586380005,0.0003,0,0,00:05:25
19,10000,-1,0,2.8586342334747314,0.0003,0,0,00:05:27
20,10500,-1,0,2.8249311447143555,0.0003,0,0,00:05:25
21,11000,-1,0,2.8427791595458984,0.0003,0,0,00:05:24
22,11500,-1,0,2.904787540435791,0.0003,0,0,00:05:25
23,12000,-1,0,2.8306145668029785,0.0003,0,0,00:05:25
24,12500,-1,0,2.82909893989563,0.0003,0,0,00:05:26
25,13000,-1,0,2.8378348350524902,0.0003,0,0,00:05:27
26,13500,-1,0,2.8516712188720703,0.0003,0,0,00:05:25
27,14000,-1,0,2.8072197437286377,0.0003,0,0,00:05:27
28,14500,-1,0,2.9195287227630615,0.0003,0,0,00:05:25
29,15000,-1,0,2.815606117248535,0.0003,0,0,00:05:26
30,15500,-1,0,2.8410260677337646,0.0003,0,0,00:05:25
31,16000,-1,0,2.7924890518188477,0.0003,0,0,00:05:28
32,16500,-1,0,2.849269151687622,0.0003,0,0,00:05:26
33,17000,-1,0,2.8339154720306396,0.0003,0,0,00:05:26
34,17500,-1,0,2.77366304397583,0.0003,0,0,00:05:26
35,18000,-1,0,2.821249008178711,0.0003,0,0,00:05:25
36,18500,-1,0,2.7674524784088135,0.0003,0,0,00:05:27
37,19000,-1,0,2.784604549407959,0.0003,0,0,00:05:25
38,19500,-1,0,2.783395290374756,0.0003,0,0,00:05:25
39,20000,-1,0,2.8432490825653076,0.0003,0,0,00:05:25
40,20500,-1,0,2.7844834327697754,0.0003,0,0,00:05:26
41,21000,-1,0,2.774739980697632,0.0003,0,0,00:05:26
42,21500,-1,0,2.7870054244995117,0.0003,0,0,00:05:25
43,22000,-1,0,2.841153383255005,0.0003,0,0,00:05:25
44,22500,-1,0,2.7549099922180176,0.0003,0,0,00:05:25
45,23000,-1,0,2.787876605987549,0.0003,0,0,00:05:26
46,23500,-1,0,2.759828805923462,0.0003,0,0,00:05:25
47,24000,-1,0,2.7556052207946777,0.0003,0,0,00:05:25
48,24500,-1,0,2.7575855255126953,0.0003,0,0,00:05:29
49,25000,-1,0,2.753373146057129,0.0003,0,0,00:05:28
50,25500,-1,0,2.7447009086608887,0.0003,0,0,00:05:26
51,26000,-1,0,2.8383891582489014,0.0003,0,0,00:05:26
52,26500,-1,0,2.8240156173706055,0.0003,0,0,00:05:25
53,27000,-1,0,2.7936253547668457,0.0003,0,0,00:05:25
54,27500,-1,0,2.818857192993164,0.0003,0,0,00:05:25
55,28000,-1,0,2.776872158050537,0.0003,0,0,00:05:25
56,28500,-1,0,2.8064656257629395,0.0003,0,0,00:05:26
57,29000,-1,0,2.753410816192627,0.0003,0,0,00:05:25
58,29500,-1,0,2.7540111541748047,0.0003,0,0,00:05:28
59,30000,-1,0,2.8198297023773193,0.0003,0,0,00:05:26
60,30500,-1,0,2.74202299118042,0.0003,0,0,00:05:25
61,31000,-1,0,2.7155630588531494,0.0003,0,0,00:05:25
62,31500,-1,0,2.7559328079223633,0.0003,0,0,00:05:25
63,32000,-1,0,2.7053310871124268,0.0003,0,0,00:05:24
64,32500,-1,0,2.790498971939087,0.0003,0,0,00:05:25
65,33000,-1,0,2.7444615364074707,0.0003,0,0,00:05:25
66,33500,-1,0,2.7985339164733887,0.0003,0,0,00:05:26
67,34000,-1,0,2.716385841369629,0.0003,0,0,00:05:25
68,34500,-1,0,2.7792739868164062,0.0003,0,0,00:05:25
69,35000,-1,0,2.752030372619629,0.0003,0,0,00:05:25
70,35500,-1,0,2.7463512420654297,0.0003,0,0,00:05:25
71,36000,-1,0,2.700528144836426,0.0003,0,0,00:05:26
72,36500,-1,0,2.7209081649780273,0.0003,0,0,00:05:25
73,37000,-1,0,2.733128309249878,0.0003,0,0,00:05:26
74,37500,-1,0,2.689150810241699,0.0003,0,0,00:05:28
75,38000,-1,0,2.7294912338256836,0.0003,0,0,00:05:25
76,38500,-1,0,2.7738428115844727,0.0003,0,0,00:05:24
77,39000,-1,0,2.710721015930176,0.0003,0,0,00:05:25
78,39500,-1,0,2.710096836090088,0.0003,0,0,00:05:25
79,40000,-1,0,2.7685647010803223,0.0003,0,0,00:05:24
80,40500,-1,0,2.7019147872924805,0.0003,0,0,00:05:25
81,41000,-1,0,2.6748905181884766,0.0003,0,0,00:05:27
82,41500,-1,0,2.750523805618286,0.0003,0,0,00:05:26
83,42000,-1,0,2.674848794937134,0.0003,0,0,00:05:27
84,42500,-1,0,2.692110776901245,0.0003,0,0,00:05:26
85,43000,-1,0,2.704035997390747,0.0003,0,0,00:05:25
86,43500,-1,0,2.781327247619629,0.0003,0,0,00:05:25
87,44000,-1,0,2.7224409580230713,0.0003,0,0,00:05:25
88,44500,-1,0,2.702944278717041,0.0003,0,0,00:05:24
89,45000,-1,0,2.680999279022217,0.0003,0,0,00:05:26
90,45500,-1,0,2.714000701904297,0.0003,0,0,00:05:26
91,46000,-1,0,2.7031171321868896,0.0003,0,0,00:05:26
92,46500,-1,0,2.6816799640655518,0.0003,0,0,00:05:25
93,47000,-1,0,2.650103807449341,0.0003,0,0,00:05:28
94,47500,-1,0,2.6710433959960938,0.0003,0,0,00:05:26
95,48000,-1,0,2.675203800201416,0.0003,0,0,00:05:25
96,48500,-1,0,2.715757369995117,0.0003,0,0,00:05:25
97,49000,-1,0,2.737812042236328,0.0003,0,0,00:05:25
98,49500,-1,0,2.669536590576172,0.0003,0,0,00:05:25
99,50000,-1,0,2.6842002868652344,0.0003,0,0,00:05:26
100,50500,-1,0,2.6588563919067383,0.0003,0,0,00:05:25
101,51000,-1,0,2.6712918281555176,0.0003,0,0,00:05:25
102,51500,-1,0,2.7031595706939697,0.0003,0,0,00:05:25
103,52000,-1,0,2.677846670150757,0.0003,0,0,00:05:25
104,52500,-1,0,2.6627330780029297,0.0003,0,0,00:05:28
105,53000,-1,0,2.7203445434570312,0.0003,0,0,00:05:25
106,53500,-1,0,2.65840744972229,0.0003,0,0,00:05:25
107,54000,-1,0,2.743699789047241,0.0003,0,0,00:05:25
108,54500,-1,0,2.7159674167633057,0.0003,0,0,00:05:26
109,55000,-1,0,2.68898606300354,0.0003,0,0,00:05:25
110,55500,-1,0,2.6875760555267334,0.0003,0,0,00:05:25
111,56000,-1,0,2.682072401046753,0.0003,0,0,00:05:25
112,56500,-1,0,2.6639840602874756,0.0003,0,0,00:05:26
113,57000,-1,0,2.765143394470215,0.0003,0,0,00:05:25
114,57500,-1,0,2.673069715499878,0.0003,0,0,00:05:26
115,58000,-1,0,2.6935503482818604,0.0003,0,0,00:05:26
116,58500,-1,0,2.6698827743530273,0.0003,0,0,00:05:25
117,59000,-1,0,2.7519595623016357,0.0003,0,0,00:05:25
118,59500,-1,0,2.7046656608581543,0.0003,0,0,00:05:25
119,60000,-1,0,2.6694297790527344,0.0003,0,0,00:05:24
120,60500,-1,0,2.644618034362793,0.0003,0,0,00:05:24
121,61000,-1,0,2.7033700942993164,0.0003,0,0,00:05:25
122,61500,-1,0,2.7187912464141846,0.0003,0,0,00:05:26
123,62000,-1,0,2.6858420372009277,0.0003,0,0,00:05:25
124,62500,-1,0,2.7252960205078125,0.0003,0,0,00:05:25
125,63000,-1,0,2.656838893890381,0.0003,0,0,00:05:25
126,63500,-1,0,2.7772531509399414,0.0003,0,0,00:05:25
127,64000,-1,0,2.8373241424560547,0.0003,0,0,00:05:25
128,64500,-1,0,2.6918256282806396,0.0003,0,0,00:05:24
129,65000,-1,0,2.669799327850342,0.0003,0,0,00:05:24
130,65500,-1,0,2.71598744392395,0.0003,0,0,00:05:25
131,66000,-1,0,2.6910836696624756,0.0003,0,0,00:05:24
132,66500,-1,0,2.688962936401367,0.0003,0,0,00:05:26
133,67000,-1,0,2.8496556282043457,0.0003,0,0,00:05:26
134,67500,-1,0,2.6627235412597656,0.0003,0,0,00:05:25
135,68000,-1,0,2.7340238094329834,0.0003,0,0,00:05:26
136,68500,-1,0,2.707620859146118,0.0003,0,0,00:05:25
137,69000,-1,0,2.6718695163726807,0.0003,0,0,00:05:25
138,69500,-1,0,2.6880264282226562,0.0003,0,0,00:05:25
139,70000,-1,0,2.6659584045410156,0.0003,0,0,00:05:25
140,70500,-1,0,2.665208339691162,0.0003,0,0,00:05:26
141,71000,-1,0,2.834371566772461,0.0003,0,0,00:05:25
142,71500,-1,0,2.685184955596924,0.0003,0,0,00:05:25
143,72000,-1,0,2.6785526275634766,0.0003,0,0,00:05:25
144,72500,-1,0,2.657954454421997,0.0003,0,0,00:05:25
145,73000,-1,0,2.6539483070373535,0.0003,0,0,00:05:25
146,73500,-1,0,2.699854850769043,0.0003,0,0,00:05:25
147,74000,-1,0,2.656264543533325,0.0003,0,0,00:05:25
148,74500,-1,0,2.8336410522460938,0.0003,0,0,00:05:30
149,75000,-1,0,2.7400012016296387,0.0003,0,0,00:05:30
150,75500,-1,0,2.6496996879577637,0.0003,0,0,00:05:28
151,76000,-1,0,2.654280662536621,0.0003,0,0,00:05:39
152,76500,-1,0,2.674593448638916,0.0003,0,0,00:05:27
153,77000,-1,0,2.6687963008880615,0.0003,0,0,00:05:32
154,77500,-1,0,2.6940650939941406,0.0003,0,0,00:05:32
155,78000,-1,0,2.6504745483398438,0.0003,0,0,00:05:32
156,78500,-1,0,2.6674015522003174,0.0003,0,0,00:05:27
157,79000,-1,0,2.6854846477508545,0.0003,0,0,00:05:28
158,79500,-1,0,2.691523313522339,0.0003,0,0,00:05:27
159,80000,-1,0,2.79475474357605,0.0003,0,0,00:05:26
160,80500,-1,0,2.666440486907959,0.0003,0,0,00:05:26
161,81000,-1,0,2.694606304168701,0.0003,0,0,00:05:26
162,81500,-1,0,2.6907448768615723,0.0003,0,0,00:05:26
