epoch,step,batch_id,avg_cost,val_reward,lr,reinforce_loss,grad_norm,epoch_time
0,500,-1,0,3.496835708618164,9.900000000000001e-05,0,0,00:02:58
1,1000,-1,0,3.442877769470215,9.801e-05,0,0,00:03:03
2,1500,-1,0,3.3991897106170654,9.70299e-05,0,0,00:03:03
3,2000,-1,0,3.3594613075256348,9.6059601e-05,0,0,00:03:02
4,2500,-1,0,3.365172863006592,9.509900499e-05,0,0,00:03:03
5,3000,-1,0,3.301516056060791,9.41480149401e-05,0,0,00:03:03
6,3500,-1,0,3.270075798034668,9.320653479069899e-05,0,0,00:03:04
7,4000,-1,0,3.2223706245422363,9.227446944279202e-05,0,0,00:03:04
8,4500,-1,0,3.206650972366333,9.135172474836409e-05,0,0,00:03:04
9,5000,-1,0,3.1822972297668457,9.043820750088044e-05,0,0,00:03:04
10,5500,-1,0,3.133690357208252,8.953382542587164e-05,0,0,00:03:04
11,6000,-1,0,3.1260197162628174,8.863848717161293e-05,0,0,00:03:04
12,6500,-1,0,3.136162042617798,8.77521022998968e-05,0,0,00:02:08
13,7000,-1,0,3.079930305480957,8.687458127689783e-05,0,0,00:01:29
14,7500,-1,0,3.0789573192596436,8.600583546412884e-05,0,0,00:01:29
15,8000,-1,0,3.0678107738494873,8.514577710948756e-05,0,0,00:01:26
16,8500,-1,0,3.0490269660949707,8.429431933839267e-05,0,0,00:01:27
17,9000,-1,0,3.020042657852173,8.345137614500875e-05,0,0,00:01:30
18,9500,-1,0,3.0000109672546387,8.261686238355867e-05,0,0,00:01:35
19,10000,-1,0,2.999782085418701,8.179069375972308e-05,0,0,00:02:26
20,10500,-1,0,2.9351470470428467,8.097278682212584e-05,0,0,00:01:30
21,11000,-1,0,2.919534921646118,8.01630589539046e-05,0,0,00:01:29
22,11500,-1,0,2.91343092918396,7.936142836436555e-05,0,0,00:01:28
23,12000,-1,0,2.8758702278137207,7.856781408072188e-05,0,0,00:01:28
24,12500,-1,0,2.904895067214966,7.778213593991467e-05,0,0,00:01:30
25,13000,-1,0,2.867584705352783,7.700431458051551e-05,0,0,00:01:29
26,13500,-1,0,2.8848979473114014,7.623427143471036e-05,0,0,00:02:37
27,14000,-1,0,2.8618831634521484,7.547192872036326e-05,0,0,00:03:03
28,14500,-1,0,2.8712456226348877,7.471720943315961e-05,0,0,00:03:04
29,15000,-1,0,2.868058919906616,7.397003733882802e-05,0,0,00:03:02
30,15500,-1,0,2.836361885070801,7.323033696543975e-05,0,0,00:03:04
31,16000,-1,0,2.852705240249634,7.249803359578534e-05,0,0,00:03:04
32,16500,-1,0,2.848193645477295,7.177305325982749e-05,0,0,00:03:03
33,17000,-1,0,2.843564748764038,7.105532272722921e-05,0,0,00:03:03
34,17500,-1,0,2.843693733215332,7.034476949995692e-05,0,0,00:02:59
35,18000,-1,0,2.829188108444214,6.964132180495735e-05,0,0,00:03:04
36,18500,-1,0,2.850433826446533,6.894490858690777e-05,0,0,00:03:03
37,19000,-1,0,2.8365635871887207,6.82554595010387e-05,0,0,00:03:04
38,19500,-1,0,2.827888250350952,6.75729049060283e-05,0,0,00:03:02
39,20000,-1,0,2.821681261062622,6.689717585696803e-05,0,0,00:03:04
40,20500,-1,0,2.80772066116333,6.622820409839836e-05,0,0,00:03:03
41,21000,-1,0,2.810204029083252,6.556592205741436e-05,0,0,00:03:02
