epoch,step,batch_id,avg_cost,val_reward,lr,reinforce_loss,grad_norm,epoch_time
0,500,-1,0,4.043988227844238,9.900000000000001e-05,0,0,00:05:51
1,1000,-1,0,3.92551851272583,9.801e-05,0,0,00:06:06
2,1500,-1,0,3.973972797393799,9.70299e-05,0,0,00:06:06
3,2000,-1,0,4.006595134735107,9.6059601e-05,0,0,00:06:07
4,2500,-1,0,4.002267360687256,9.509900499e-05,0,0,00:06:06
5,3000,-1,0,3.89266037940979,9.41480149401e-05,0,0,00:06:07
6,3500,-1,0,3.863194227218628,9.320653479069899e-05,0,0,00:06:08
7,4000,-1,0,3.826447010040283,9.227446944279202e-05,0,0,00:06:06
8,4500,-1,0,4.013725280761719,9.135172474836409e-05,0,0,00:06:07
9,5000,-1,0,3.8884263038635254,9.043820750088044e-05,0,0,00:06:06
10,5500,-1,0,3.8319201469421387,8.953382542587164e-05,0,0,00:06:06
11,6000,-1,0,3.8670010566711426,8.863848717161293e-05,0,0,00:06:06
12,6500,-1,0,3.828275680541992,8.77521022998968e-05,0,0,00:06:07
13,7000,-1,0,3.8431520462036133,8.687458127689783e-05,0,0,00:06:07
14,7500,-1,0,3.919715404510498,8.600583546412884e-05,0,0,00:06:07
15,8000,-1,0,3.773198366165161,8.514577710948756e-05,0,0,00:06:06
16,8500,-1,0,3.8006973266601562,8.429431933839267e-05,0,0,00:06:05
17,9000,-1,0,3.8304853439331055,8.345137614500875e-05,0,0,00:06:02
18,9500,-1,0,3.9100141525268555,8.261686238355867e-05,0,0,00:06:05
19,10000,-1,0,3.8929860591888428,8.179069375972308e-05,0,0,00:06:06
20,10500,-1,0,3.7766332626342773,8.097278682212584e-05,0,0,00:06:06
21,11000,-1,0,3.748692035675049,8.01630589539046e-05,0,0,00:06:07
22,11500,-1,0,3.87762451171875,7.936142836436555e-05,0,0,00:06:07
23,12000,-1,0,3.839289665222168,7.856781408072188e-05,0,0,00:06:06
24,12500,-1,0,3.852353572845459,7.778213593991467e-05,0,0,00:06:07
25,13000,-1,0,3.8614141941070557,7.700431458051551e-05,0,0,00:06:07
26,13500,-1,0,3.820600986480713,7.623427143471036e-05,0,0,00:06:07
27,14000,-1,0,3.792388916015625,7.547192872036326e-05,0,0,00:06:07
28,14500,-1,0,3.7497425079345703,7.471720943315961e-05,0,0,00:06:07
29,15000,-1,0,3.8779866695404053,7.397003733882802e-05,0,0,00:06:07
30,15500,-1,0,3.734964609146118,7.323033696543975e-05,0,0,00:06:07
31,16000,-1,0,3.744579792022705,7.249803359578534e-05,0,0,00:06:07
32,16500,-1,0,3.736095428466797,7.177305325982749e-05,0,0,00:06:08
33,17000,-1,0,3.7212753295898438,7.105532272722921e-05,0,0,00:06:07
34,17500,-1,0,3.772157907485962,7.034476949995692e-05,0,0,00:06:07
35,18000,-1,0,3.8391430377960205,6.964132180495735e-05,0,0,00:06:08
36,18500,-1,0,3.7423830032348633,6.894490858690777e-05,0,0,00:06:08
37,19000,-1,0,3.8188765048980713,6.82554595010387e-05,0,0,00:06:09
38,19500,-1,0,3.9527387619018555,6.75729049060283e-05,0,0,00:06:08
39,20000,-1,0,3.6956377029418945,6.689717585696803e-05,0,0,00:06:07
40,20500,-1,0,3.8051843643188477,6.622820409839836e-05,0,0,00:06:08
41,21000,-1,0,3.746432304382324,6.556592205741436e-05,0,0,00:06:07
42,21500,-1,0,3.6598997116088867,6.491026283684022e-05,0,0,00:06:08
43,22000,-1,0,3.795807123184204,6.426116020847181e-05,0,0,00:06:08
44,22500,-1,0,3.712221145629883,6.36185486063871e-05,0,0,00:06:08
45,23000,-1,0,3.8654322624206543,6.298236312032323e-05,0,0,00:06:08
46,23500,-1,0,3.719393730163574,6.235253948912e-05,0,0,00:06:07
47,24000,-1,0,3.644867420196533,6.17290140942288e-05,0,0,00:06:07
48,24500,-1,0,3.678492546081543,6.11117239532865e-05,0,0,00:06:07
49,25000,-1,0,3.744215488433838,6.050060671375364e-05,0,0,00:06:07
50,25500,-1,0,3.7230594158172607,5.98956006466161e-05,0,0,00:06:08
51,26000,-1,0,3.735210657119751,5.9296644640149945e-05,0,0,00:06:07
52,26500,-1,0,3.681278944015503,5.8703678193748444e-05,0,0,00:06:07
53,27000,-1,0,3.699709415435791,5.811664141181096e-05,0,0,00:06:07
54,27500,-1,0,3.705404043197632,5.753547499769285e-05,0,0,00:06:07
55,28000,-1,0,3.6711230278015137,5.696012024771592e-05,0,0,00:06:07
