epoch,step,batch_id,avg_cost,val_reward,lr,reinforce_loss,grad_norm,epoch_time
0,500,-1,0,3.748408317565918,0.0001,0,0,00:02:50
1,1000,-1,0,3.7210769653320312,0.0001,0,0,00:02:49
2,1500,-1,0,3.705906391143799,0.0001,0,0,00:02:50
3,2000,-1,0,3.6733899116516113,0.0001,0,0,00:02:47
4,2500,-1,0,3.698267936706543,0.0001,0,0,00:02:51
5,3000,-1,0,3.693549156188965,0.0001,0,0,00:02:49
6,3500,-1,0,3.6981046199798584,0.0001,0,0,00:02:50
7,4000,-1,0,3.6615641117095947,0.0001,0,0,00:02:52
8,4500,-1,0,3.645879030227661,0.0001,0,0,00:02:52
9,5000,-1,0,3.6732866764068604,0.0001,0,0,00:02:49
10,5500,-1,0,3.6791419982910156,0.0001,0,0,00:02:51
11,6000,-1,0,3.6713595390319824,0.0001,0,0,00:02:51
12,6500,-1,0,3.6382946968078613,0.0001,0,0,00:02:51
13,7000,-1,0,3.613251209259033,0.0001,0,0,00:02:53
14,7500,-1,0,3.807236909866333,0.0001,0,0,00:02:51
15,8000,-1,0,3.6394615173339844,0.0001,0,0,00:02:53
16,8500,-1,0,3.6207480430603027,0.0001,0,0,00:02:51
17,9000,-1,0,3.627176523208618,0.0001,0,0,00:02:53
18,9500,-1,0,3.6321511268615723,0.0001,0,0,00:02:51
19,10000,-1,0,3.6302669048309326,0.0001,0,0,00:02:52
20,10500,-1,0,3.6194565296173096,0.0001,0,0,00:02:49
21,11000,-1,0,3.5786502361297607,0.0001,0,0,00:02:52
22,11500,-1,0,3.6149940490722656,0.0001,0,0,00:02:51
23,12000,-1,0,3.6224427223205566,0.0001,0,0,00:02:51
24,12500,-1,0,3.5942583084106445,0.0001,0,0,00:02:50
25,13000,-1,0,3.7441306114196777,0.0001,0,0,00:02:52
26,13500,-1,0,3.679259777069092,0.0001,0,0,00:03:05
27,14000,-1,0,3.622619152069092,0.0001,0,0,00:05:46
28,14500,-1,0,3.6527364253997803,0.0001,0,0,00:05:57
29,15000,-1,0,3.7293553352355957,0.0001,0,0,00:05:58
30,15500,-1,0,3.5798962116241455,0.0001,0,0,00:05:57
31,16000,-1,0,3.5703773498535156,0.0001,0,0,00:05:59
32,16500,-1,0,3.597083568572998,0.0001,0,0,00:05:58
33,17000,-1,0,3.5816783905029297,0.0001,0,0,00:06:00
34,17500,-1,0,3.6045498847961426,0.0001,0,0,00:05:59
35,18000,-1,0,3.5865392684936523,0.0001,0,0,00:05:59
36,18500,-1,0,3.5654561519622803,0.0001,0,0,00:05:57
37,19000,-1,0,3.583613872528076,0.0001,0,0,00:05:58
38,19500,-1,0,3.589111566543579,0.0001,0,0,00:05:58
39,20000,-1,0,3.6276657581329346,0.0001,0,0,00:05:58
40,20500,-1,0,3.600729465484619,0.0001,0,0,00:05:57
41,21000,-1,0,3.5907607078552246,0.0001,0,0,00:05:57
42,21500,-1,0,3.6152701377868652,0.0001,0,0,00:05:55
43,22000,-1,0,3.607400417327881,0.0001,0,0,00:05:48
44,22500,-1,0,3.5975608825683594,0.0001,0,0,00:05:46
45,23000,-1,0,3.6572370529174805,0.0001,0,0,00:05:45
46,23500,-1,0,3.574000120162964,0.0001,0,0,00:05:46
47,24000,-1,0,3.6278746128082275,0.0001,0,0,00:05:46
48,24500,-1,0,3.584927558898926,0.0001,0,0,00:05:50
49,25000,-1,0,3.578632116317749,0.0001,0,0,00:05:58
50,25500,-1,0,3.6289491653442383,0.0001,0,0,00:05:46
51,26000,-1,0,3.593388080596924,0.0001,0,0,00:05:46
52,26500,-1,0,3.5628268718719482,0.0001,0,0,00:05:45
53,27000,-1,0,3.635275363922119,0.0001,0,0,00:05:46
54,27500,-1,0,3.607815742492676,0.0001,0,0,00:05:46
55,28000,-1,0,3.599510431289673,0.0001,0,0,00:05:47
56,28500,-1,0,3.598904609680176,0.0001,0,0,00:05:46
57,29000,-1,0,3.574206590652466,0.0001,0,0,00:05:45
58,29500,-1,0,3.685887575149536,0.0001,0,0,00:05:46
59,30000,-1,0,3.650063991546631,0.0001,0,0,00:05:46
60,30500,-1,0,3.6359496116638184,0.0001,0,0,00:05:47
61,31000,-1,0,3.6346914768218994,0.0001,0,0,00:05:47
62,31500,-1,0,3.606943130493164,0.0001,0,0,00:05:47
63,32000,-1,0,3.5975534915924072,0.0001,0,0,00:05:47
64,32500,-1,0,3.5930514335632324,0.0001,0,0,00:05:46
65,33000,-1,0,3.631744861602783,0.0001,0,0,00:05:41
66,33500,-1,0,3.599893093109131,0.0001,0,0,00:05:46
67,34000,-1,0,3.6561837196350098,0.0001,0,0,00:05:46
68,34500,-1,0,3.6363584995269775,0.0001,0,0,00:05:44
69,35000,-1,0,3.5859270095825195,0.0001,0,0,00:05:45
70,35500,-1,0,3.5718579292297363,0.0001,0,0,00:05:45
71,36000,-1,0,3.603628635406494,0.0001,0,0,00:05:45
72,36500,-1,0,3.5608041286468506,0.0001,0,0,00:05:44
73,37000,-1,0,3.5846893787384033,0.0001,0,0,00:05:45
74,37500,-1,0,3.712568998336792,0.0001,0,0,00:05:46
75,38000,-1,0,3.596078872680664,0.0001,0,0,00:05:46
76,38500,-1,0,3.5822343826293945,0.0001,0,0,00:05:46
77,39000,-1,0,3.579355478286743,0.0001,0,0,00:05:45
78,39500,-1,0,3.5998919010162354,0.0001,0,0,00:05:47
79,40000,-1,0,3.6153910160064697,0.0001,0,0,00:05:46
80,40500,-1,0,3.6207897663116455,0.0001,0,0,00:05:45
81,41000,-1,0,3.5931756496429443,0.0001,0,0,00:05:45
