epoch,step,batch_id,avg_cost,val_reward,lr,reinforce_loss,grad_norm,epoch_time
0,500,-1,0,5.154091835021973,4.9500000000000004e-05,0,0,00:16:56
1,1000,-1,0,5.206301689147949,4.9005e-05,0,0,00:14:54
2,1500,-1,0,5.167966365814209,4.851495e-05,0,0,00:15:29
3,2000,-1,0,5.68843412399292,4.80298005e-05,0,0,00:15:37
4,2500,-1,0,5.212263107299805,4.7549502495e-05,0,0,00:15:37
5,3000,-1,0,5.171787261962891,4.707400747005e-05,0,0,00:16:04
6,3500,-1,0,5.234429359436035,4.6603267395349495e-05,0,0,00:15:34
7,4000,-1,0,5.172853469848633,4.613723472139601e-05,0,0,00:15:41
8,4500,-1,0,5.25076961517334,4.5675862374182046e-05,0,0,00:15:58
9,5000,-1,0,5.139408111572266,4.521910375044022e-05,0,0,00:15:53
10,5500,-1,0,5.416532516479492,4.476691271293582e-05,0,0,00:16:52
11,6000,-1,0,5.280716896057129,4.431924358580647e-05,0,0,00:16:42
12,6500,-1,0,5.305870056152344,4.38760511499484e-05,0,0,00:16:53
13,7000,-1,0,5.118435859680176,4.343729063844891e-05,0,0,00:16:52
14,7500,-1,0,5.17165470123291,4.300291773206442e-05,0,0,00:16:53
15,8000,-1,0,5.1992692947387695,4.257288855474378e-05,0,0,00:16:51
16,8500,-1,0,5.089324474334717,4.214715966919634e-05,0,0,00:16:53
17,9000,-1,0,5.212347507476807,4.1725688072504373e-05,0,0,00:16:53
18,9500,-1,0,5.184841156005859,4.1308431191779336e-05,0,0,00:15:52
19,10000,-1,0,5.107745170593262,4.089534687986154e-05,0,0,00:15:53
20,10500,-1,0,5.128047466278076,4.048639341106292e-05,0,0,00:16:50
21,11000,-1,0,5.18448543548584,4.00815294769523e-05,0,0,00:16:52
22,11500,-1,0,5.119011878967285,3.968071418218277e-05,0,0,00:16:56
23,12000,-1,0,5.200519561767578,3.928390704036094e-05,0,0,00:16:53
24,12500,-1,0,5.082406044006348,3.889106796995734e-05,0,0,00:16:59
25,13000,-1,0,5.348726272583008,3.8502157290257755e-05,0,0,00:15:54
26,13500,-1,0,5.205735683441162,3.811713571735518e-05,0,0,00:15:55
27,14000,-1,0,5.209268093109131,3.773596436018163e-05,0,0,00:15:53
28,14500,-1,0,5.211117744445801,3.7358604716579807e-05,0,0,00:15:54
29,15000,-1,0,5.188323974609375,3.698501866941401e-05,0,0,00:15:53
30,15500,-1,0,5.143734455108643,3.6615168482719876e-05,0,0,00:15:53
31,16000,-1,0,5.211007595062256,3.624901679789267e-05,0,0,00:15:19
32,16500,-1,0,5.140242576599121,3.5886526629913745e-05,0,0,00:15:52
33,17000,-1,0,5.08346700668335,3.5527661363614604e-05,0,0,00:15:51
